Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, GND1, SWCLK1, SWDIO1",TestPoint_Pad_2.0x2.0mm,4,TestPoint,
"B1, B10, B11, B12, B2, B3, B4, B5, B6, B8, B9, CHARGE_EN1, CHG_ST1, CHG_ST2, CP_RST1, CP_VBUS1, G1, G10, G11, G12, G2, G3, G4, G5, G6, G7, G8, G9, GND2, GND3, GND4, GND5, I2C_SCL1, I2C_SDA1, LB1, LED_SHUT1, MAG_INT1, NRST1, RB1, RED1, RED10, RED11, RED12, RED2, RED3, RED4, RED5, RED6, RED7, RED8, RED9, SOC_ALRT1, UART1_RX1, UART1_TX1, VBAT1, VBUS1, VDC1, XLI2, XLI_1",TestPoint_Pad_1.0x1.0mm,59,TestPoint,
B7,TestPoint_Pad_1.0x1.0mm,1,`,
BT1,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,Battery_Cell,
"C1, C2",0603,2,18pF,
"C10, C13, C15, C18, C23, C26, C3, C4, C8",0603,9,0.1uF,
"C11, C12, C5",0603,3,4.7uF,
"C14, C20, C21, C7",0603,4,1uF,
"C16, C6",0603,2,0.01uF,
"C17, C22, C24",0603,3,10uF,
C19,0603,1,220nF,
C25,0603,1,22uF,
C9,0603,1,4.7nF,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",XL-1615RGBC-YG,12,LED_RGBA,
"D13, D14",0603,2,LED,
IC1,IS31FL3237QFLS4TR,1,IS31FL3237-QFLS4-TR,
IC2,LGA-12_2x2mm_P0.5mm,1,LSM303AGRTR,
IC3,Texas_DLH0010A_WSON-10-1EP_2.2x2mm_P0.4mm_EP0.9x1.5mm_ThermalVias,1,BQ25185DLHR,
IC4,TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,1,MAX17048G+T10,
IC5,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm,1,TPS63900DSKR,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
L1,L_Coilcraft_0805HQ_2012Metric,1,2.2uH,
"R1, R2, R21",0603,3,10K,
"R10, R9",0603,2,220,
R11,0603,1,3.3K,
R12,0603,1,100K,
R14,0603,1,18K,
R15,0603,1,2K,
R18,0603,1,36.5K,
"R3, R4",0603,2,5.1K,
R5,0603,1,1K,
R6,0603,1,22.1K,
R7,0603,1,47.5K,
R8,0603,1,1M,
"S1, S2",EVPAA202K,2,EVP-AA202K,
TH1,0603,1,"10K @ 25C, B=3435K",
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32U031K8Ux,
U2,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CP2102N-Axx-xQFN20,
U3,Texas_DRT-3,1,TPD2EUSB30A,
U4,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TMP1075DSG,
Y1,ABS07,1,ABS07-32.768KHZ-T,
