Designator,Mid X,Mid Y,Rotation,Layer
BT1,183.125,-115.45,270.0,top
C1,129.55,-99.5,0.0,top
C10,184.549999,-94.849999,270.0,top
C11,186.299999,-94.85,270.0,top
C12,188.05,-94.824999,270.0,top
C13,143.5,-96.5,0.0,top
C14,143.5,-94.85,0.0,top
C15,131.6,-93.25,0.0,top
C16,125.85,-97.3,270.0,top
C17,182.424305,-88.315846,270.0,top
C18,178.275,-89.775,270.0,top
C19,180.599999,-90.712501,0.0,top
C2,129.55,-101.0,0.0,top
C20,182.8,-107.9,0.0,top
C21,178.910234,-110.834544,180.0,top
C22,181.355234,-110.21448,90.0,top
C23,187.75,-110.25,0.0,top
C24,176.9625,-97.5,270.0,top
C25,171.9625,-97.5,270.0,top
C26,183.924305,-88.315846,270.0,top
C3,133.375,-96.6,180.0,top
C4,142.1,-103.35,0.0,top
C5,143.5,-101.75,0.0,top
C6,132.15,-102.7,180.0,top
C7,132.25,-104.35,180.0,top
C8,187.300001,-97.35,180.0,top
C9,192.5,-92.25,0.0,top
D1,145.1875,-86.65,330.0,top
D10,123.9375,-92.4,60.0,top
D11,129.5,-86.75,30.0,top
D12,137.4375,-84.65,0.0,top
D13,185.550001,-102.85,0.0,top
D14,181.8,-102.849999,180.0,top
D2,150.9375,-92.380385,300.0,top
D3,152.9375,-100.15,270.0,top
D4,150.9375,-107.9,240.0,top
D5,145.1875,-113.489711,210.0,top
D6,137.5375,-115.685289,180.0,top
D7,129.6875,-113.65,150.0,top
D8,123.9375,-107.9,120.0,top
D9,121.9375,-100.15,90.0,top
IC1,137.75,-91.5,180.0,top
IC2,180.35,-88.4625,0.0,top
IC3,178.760234,-108.66948,180.0,top
IC4,187.7375,-108.25,0.0,top
IC5,174.5,-97.5,270.0,top
J1,197.75,-100.25,90.0,top
L1,174.4625,-100.75,180.0,top
R1,143.5,-99.75,0.0,top
R10,181.800001,-104.6,180.0,top
R11,141.25,-96.25,270.0,top
R12,131.6,-95.0,0.0,top
R14,175.355234,-106.675,180.0,top
R15,175.355234,-108.21448,180.0,top
R18,175.962499,-94.499999,180.0,top
R2,143.5,-98.25,0.0,top
R21,190.25,-110.25,270.0,top
R3,191.75,-97.75,90.0,top
R4,191.75,-102.5,270.0,top
R5,180.299999,-98.349999,270.0,top
R6,182.05,-94.1,180.0,top
R7,182.050001,-95.849999,180.0,top
R8,192.5,-93.75,0.0,top
R9,185.550001,-104.600001,0.0,top
S1,139.5,-107.55,90.0,top
S2,135.7,-107.55,90.0,top
TH1,177.25,-101.325,90.0,top
U1,137.6,-100.0,90.0,top
U2,183.550001,-99.1,180.0,top
U3,186.800001,-98.925001,180.0,top
U4,128.3,-97.25,180.0,top
Y1,132.35,-99.6,90.0,top
